name,ida_name,env_name_s,name_s,name_a,toggle_type,class_s,code_owner_s,computed_status_s,created_s,everyone_s,is_active_s,modified_s,module_s,note_s,num_courses_forced_off_s,num_courses_forced_on_s,num_orgs_forced_off_s,num_orgs_forced_on_s,toggle_type_s,creation_date_a,default_a,description_a,implementation_a,line_number_a,source_file_a,target_removal_date_a,tickets_a,url_a,use_cases_a,warning_a
openresponseassessment.team_submissions,lms,stage,openresponseassessment.team_submissions,,waffle_flags,,,on,2020-06-03 18:50:50,Yes,,2022-02-09 14:18:06,,,0,13,,,waffle_flags,,,,,,,,,,,
openresponseassessment.team_submissions,lms,prod,openresponseassessment.team_submissions,,waffle_flags,,,on,2022-02-09 14:15:16,Yes,,2022-02-09 14:15:33,,,0,2,0,1,waffle_flags,,,,,,,,,,,
openresponseassessment.user_state_upload_data,lms,prod,openresponseassessment.user_state_upload_data,,waffle_flags,,,both,,,,,,,0,7,,,waffle_flags,,,,,,,,,,,
order_history.redirect_to_microfrontend,lms,stage,order_history.redirect_to_microfrontend,order_history.redirect_to_microfrontend,waffle_flags,,,both,2019-04-12 13:41:52,Yes,,2019-04-29 14:07:24,,Arch Team uses cases #1 (incremental rollout) and #5 (beta testing) for the new Order History implementation via micro-frontend.,,,,,waffle_flags,2019-04-11,False,Supports staged rollout of a new micro-frontend-based implementation of the order history page.,WaffleFlag,"[9, 9, 9, 9, 9, 9, 9, 9, 9]",openedx/core/djangoapps/user_api/accounts/toggles.py,2020-12-31,DEPR-17,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/user_api/accounts/toggles.py#L9-L9,"['temporary', 'open_edx']","Also set settings.ORDER_HISTORY_MICROFRONTEND_URL and site's
   ENABLE_ORDER_HISTORY_MICROFRONTEND."
order_history.redirect_to_microfrontend,lms,prod,order_history.redirect_to_microfrontend,order_history.redirect_to_microfrontend,waffle_flags,,,both,2019-04-26 14:29:07,Yes,,2019-04-29 14:06:08,,Arch Team uses cases #1 (incremental rollout) and #5 (beta testing) for the new Order History implementation via micro-frontend.,,,,,waffle_flags,2019-04-11,False,Supports staged rollout of a new micro-frontend-based implementation of the order history page.,WaffleFlag,"[9, 9, 9, 9, 9, 9, 9, 9, 9]",openedx/core/djangoapps/user_api/accounts/toggles.py,2020-12-31,DEPR-17,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/user_api/accounts/toggles.py#L9-L9,"['temporary', 'open_edx']","Also set settings.ORDER_HISTORY_MICROFRONTEND_URL and site's
   ENABLE_ORDER_HISTORY_MICROFRONTEND."
populate-multitenant-programs,lms,stage,populate-multitenant-programs,,waffle_switches,,,on,2017-07-13 10:47:41,,true,2017-07-20 12:30:01,,,,,,,waffle_switches,,,,,,,,,,,
populate-multitenant-programs,lms,prod,populate-multitenant-programs,,waffle_switches,,,on,2017-07-13 12:33:12,,true,2017-07-27 14:57:29,,,,,,,waffle_switches,,,,,,,,,,,
portfolio_project.include_upsell_modal,lms,prod,portfolio_project.include_upsell_modal,,waffle_flags,,,on,2018-02-08 22:03:53,Yes,,2018-02-08 22:04:17,,,,,,,waffle_flags,,,,,,,,,,,
programs.always_calculate_program_price_as_anonymous_user,lms,edge,programs.always_calculate_program_price_as_anonymous_user,,waffle_switches,WaffleSwitch,content-cosmonauts,off,,,,,openedx.core.djangoapps.programs,,,,,,waffle_switches,,,,,,,,,,,
programs.always_calculate_program_price_as_anonymous_user,lms,stage,programs.always_calculate_program_price_as_anonymous_user,,waffle_switches,WaffleSwitch,content-cosmonauts,off,,,,,openedx.core.djangoapps.programs,,,,,,waffle_switches,,,,,,,,,,,
programs.always_calculate_program_price_as_anonymous_user,lms,prod,programs.always_calculate_program_price_as_anonymous_user,,waffle_switches,WaffleSwitch,content-cosmonauts,on,2018-06-19 17:48:45,,true,2018-06-19 17:48:56,openedx.core.djangoapps.programs,,,,,,waffle_switches,,,,,,,,,,,
request_utils.capture_cookie_sizes,lms,edge,request_utils.capture_cookie_sizes,,waffle_flags,,,off,2021-07-26 15:12:18,Yes,,2021-07-26 17:01:12,,,,,,,waffle_flags,,,,,,,,,,,
request_utils.capture_cookie_sizes,lms,stage,request_utils.capture_cookie_sizes,,waffle_flags,,,off,2021-01-21 18:23:11,Yes,,2022-01-10 15:42:26,,,,,,,waffle_flags,,,,,,,,,,,
request_utils.capture_cookie_sizes,lms,prod,request_utils.capture_cookie_sizes,,waffle_flags,,,off,2021-01-21 18:24:14,Yes,,2021-07-26 17:51:21,,,,,,,waffle_flags,,,,,,,,,,,
safe_session.log_request_user_changes,lms,prod,safe_session.log_request_user_changes,,waffle_flags,,,off,2021-03-25 19:54:43,Yes,,2021-03-25 20:10:28,,,,,,,waffle_flags,,,,,,,,,,,
sailthru.audit_purchase_enabled,lms,stage,sailthru.audit_purchase_enabled,,waffle_switches,,,on,2018-06-26 06:34:28,,true,2018-07-18 01:48:54,,,,,,,waffle_switches,,,,,,,,,,,
sailthru.audit_purchase_enabled,lms,prod,sailthru.audit_purchase_enabled,,waffle_switches,,,off,2018-07-19 08:56:39,,false,2021-04-21 13:20:27,,,,,,,waffle_switches,,,,,,,,,,,
schedule.create_schedules_for_course,lms,prod,schedule.create_schedules_for_course,,waffle_flags,,,off,,,,,,,1,0,,,waffle_flags,,,,,,,,,,,
schedules.course_update_show_unsubscribe,lms,edge,schedules.course_update_show_unsubscribe,,waffle_switches,WaffleSwitch,content-cosmonauts,off,,,,,openedx.core.djangoapps.schedules.config,,,,,,waffle_switches,,,,,,,,,,,
schedules.course_update_show_unsubscribe,lms,stage,schedules.course_update_show_unsubscribe,,waffle_switches,WaffleSwitch,content-cosmonauts,off,,,,,openedx.core.djangoapps.schedules.config,,,,,,waffle_switches,,,,,,,,,,,
schedules.course_update_show_unsubscribe,lms,prod,schedules.course_update_show_unsubscribe,,waffle_switches,WaffleSwitch,content-cosmonauts,off,,,,,openedx.core.djangoapps.schedules.config,,,,,,waffle_switches,,,,,,,,,,,
schedules.create_schedules_for_course,lms,stage,schedules.create_schedules_for_course,,waffle_flags,,,both,2020-07-20 17:31:28,Yes,,2020-07-20 17:31:51,,,,,,,waffle_flags,,,,,,,,,,,
schedules.create_schedules_for_course,lms,prod,schedules.create_schedules_for_course,,waffle_flags,,,both,2017-12-11 16:00:27,Yes,,2017-12-11 16:01:12,,,6,17,,,waffle_flags,,,,,,,,,,,
schedules.create_schedules_for_course waffle,lms,prod,schedules.create_schedules_for_course waffle,,waffle_flags,,,both,,,,,,,0,1,,,waffle_flags,,,,,,,,,,,
schedules.enable_debugging,lms,prod,schedules.enable_debugging,schedules.enable_debugging,waffle_flags,,,on,2017-09-19 21:02:06,Yes,,2017-09-19 21:02:34,,,,,,,waffle_flags,2017-09-17,False,Enable debug level of logging for schedules messages.,WaffleFlag,"[13, 13, 13, 13, 13, 13]",openedx/core/djangoapps/schedules/config.py,,,https://github.com/openedx/edx-platform/blob/master/openedx/core/djangoapps/schedules/config.py#L13-L13,['open_edx'],
schedules.external_updates,lms,prod,schedules.external_updates,,waffle_flags,,,on,2021-03-04 15:16:56,Yes,,2021-03-16 14:00:56,,"Owned by Engage squad. This is an experiment where we test sending course updates from Braze, not edx-platform.",,,,,waffle_flags,,,,,,,,,,,
schedules.external_updates.0,lms,prod,schedules.external_updates.0,,waffle_flags,,,both,2021-03-04 15:17:59,Yes,,2021-03-04 15:21:16,,,,,,,waffle_flags,,,,,,,,,,,
schedules.external_updates.1,lms,prod,schedules.external_updates.1,,waffle_flags,,,both,2021-03-04 15:18:12,Yes,,2021-03-04 15:21:27,,,,,,,waffle_flags,,,,,,,,,,,
schedules.send_updates_for_course,lms,stage,schedules.send_updates_for_course,,waffle_flags,,,on,2017-11-08 17:38:58,Yes,,2017-11-08 17:39:04,,,0,3,,,waffle_flags,,,,,,,,,,,
schedules.send_updates_for_course,lms,prod,schedules.send_updates_for_course,,waffle_flags,,,both,2017-12-07 14:59:49,Yes,,2017-12-07 15:00:23,,,4,17,,,waffle_flags,,,,,,,,,,,
seo.enable_anonymous_courseware_access,lms,stage,seo.enable_anonymous_courseware_access,,waffle_flags,,,both,,,,,,,0,5,,,waffle_flags,,,,,,,,,,,
seo.enable_anonymous_courseware_access,lms,prod,seo.enable_anonymous_courseware_access,,waffle_flags,,,both,,,,,,,0,4,,,waffle_flags,,,,,,,,,,,
streak_celebration.AA-759,lms,prod,streak_celebration.AA-759,,waffle_flags,,,off,,,,,,,6,0,,,waffle_flags,,,,,,,,,,,
streak_celebration.discount_experiment_AA759,lms,prod,streak_celebration.discount_experiment_AA759,,waffle_flags,,,off,2021-05-11 13:39:34,Yes,,2021-07-12 12:32:25,,,,,,,waffle_flags,,,,,,,,,,,
student.courseenrollment_admin,lms,edge,student.courseenrollment_admin,student.courseenrollment_admin,waffle_switches,WaffleSwitch,content-tnl,off,,,,,common.djangoapps.student.admin,,,,,,waffle_switches,2018-08-01,False,This toggle will enable the rendering of the admin view of the CourseEnrollment model.,WaffleSwitch,"[53, 53, 53, 53, 53, 53, 53, 53]",common/djangoapps/student/admin.py,,https://github.com/openedx/edx-platform/pull/18638,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/admin.py#L53-L53,"['opt_in', 'open_edx']","Enabling this toggle may cause performance problems. The CourseEnrollment admin view
     makes DB queries that could cause site outages for a large enough Open edX installation."
student.courseenrollment_admin,lms,stage,student.courseenrollment_admin,student.courseenrollment_admin,waffle_switches,WaffleSwitch,content-tnl,on,2019-06-20 21:04:32,,true,2021-05-27 13:39:57,common.djangoapps.student.admin,,,,,,waffle_switches,2018-08-01,False,This toggle will enable the rendering of the admin view of the CourseEnrollment model.,WaffleSwitch,"[53, 53, 53, 53, 53, 53, 53, 53]",common/djangoapps/student/admin.py,,https://github.com/openedx/edx-platform/pull/18638,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/admin.py#L53-L53,"['opt_in', 'open_edx']","Enabling this toggle may cause performance problems. The CourseEnrollment admin view
     makes DB queries that could cause site outages for a large enough Open edX installation."
student.courseenrollment_admin,lms,prod,student.courseenrollment_admin,student.courseenrollment_admin,waffle_switches,WaffleSwitch,content-tnl,off,,,,,common.djangoapps.student.admin,,,,,,waffle_switches,2018-08-01,False,This toggle will enable the rendering of the admin view of the CourseEnrollment model.,WaffleSwitch,"[53, 53, 53, 53, 53, 53, 53, 53]",common/djangoapps/student/admin.py,,https://github.com/openedx/edx-platform/pull/18638,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/admin.py#L53-L53,"['opt_in', 'open_edx']","Enabling this toggle may cause performance problems. The CourseEnrollment admin view
     makes DB queries that could cause site outages for a large enough Open edX installation."
student.enable_2u_recommendations,lms,prod,student.enable_2u_recommendations,student.enable_2u_recommendations,waffle_flags,,,both,2022-09-22 12:13:09,Yes,,2022-09-28 14:08:05,,Flag to enable 2U LOB static callouts on user dashboard,,,,,waffle_flags,2022-09-20,False,Supports rollout of a POC for 2U recommendations.,WaffleFlag,"[26, 26, 26, 26, 26, 26, 26, 26, 26]",common/djangoapps/student/toggles.py,None,VAN-1094,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/toggles.py#L26-L26,['temporary'],None
student.enable_amplitude_recommendations,lms,stage,student.enable_amplitude_recommendations,student.enable_amplitude_recommendations,waffle_flags,,,off,2022-07-01 09:35:35,Yes,,2022-07-01 09:41:25,,,,,,,waffle_flags,2022-06-24,False,Supports rollout of a POC for amplitude recommendations.,WaffleFlag,"[9, 9, 9, 9, 9, 9, 9, 9, 9]",common/djangoapps/student/toggles.py,None,VAN-984,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/toggles.py#L9-L9,['temporary'],None
student.enable_amplitude_recommendations,lms,prod,student.enable_amplitude_recommendations,student.enable_amplitude_recommendations,waffle_flags,,,on,2022-07-07 06:18:05,Yes,,2022-07-28 16:48:26,,,,,,,waffle_flags,2022-06-24,False,Supports rollout of a POC for amplitude recommendations.,WaffleFlag,"[9, 9, 9, 9, 9, 9, 9, 9, 9]",common/djangoapps/student/toggles.py,None,VAN-984,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/toggles.py#L9-L9,['temporary'],None
student.enable_enrollment_confirmation_email,lms,prod,student.enable_enrollment_confirmation_email,student.enable_enrollment_confirmation_email,waffle_flags,,,on,2022-09-06 11:44:02,Yes,,2022-11-25 04:59:47,,"Owned by vanguards - This flag enables the course enrollment confirmation email.
Launch details: https://2u-internal.atlassian.net/l/cp/jpouu1PB",,,,,waffle_flags,2022-08-05,False,Enable course enrollment email template,WaffleFlag,"[43, 43, 43, 43, 43, 43, 43, 43, 43]",common/djangoapps/student/toggles.py,None,VAN-1129,https://github.com/openedx/edx-platform/blob/master/common/djangoapps/student/toggles.py#L43-L43,['opt_in'],None
student.enable_redesign_enrollment_confirmation_email,lms,stage,student.enable_redesign_enrollment_confirmation_email,,waffle_flags,,,on,2022-09-05 13:00:20,Yes,,2022-09-05 13:17:30,,,,,,,waffle_flags,,,,,,,,,,,
student.experiments.bundles_on_dashboard,lms,stage,student.experiments.bundles_on_dashboard,,waffle_flags,,,on,2017-12-19 15:27:46,Yes,,2018-02-12 22:22:31,,,,,,,waffle_flags,,,,,,,,,,,
