repo_name,openedx_yaml.oep-2,ownership.theme,ownership.squad,travis_yml.python_versions
openedx/xblock-lti-consumer,True,content,cosmonauts,[]
openedx/xblock-sdk,False,content,tnl,[]
openedx/xqueue,True,content,aurora,[]
openedx/frontend-lib-content-components,False,content,tnl,[]
openedx/edx-app-android,False,engagement,mobile,[]
openedx/ConceptXBlock,True,openedx,arbi-bom,[]
openedx/tutor-contrib-coursegraph,False,openedx,tcril,[]
openedx/frontend-app-profile,False,content,aperture,[]
openedx/frontend-app-library-authoring,False,content,tnl,[]
openedx/tcril-onboarding,False,openedx,tcril,[]
openedx/xblock-qualtrics-survey,False,openedx,arbi-bom,[]
openedx/openedx-webhooks,True,openedx,tcril,[]
openedx/opaque-keys,True,content,tnl,[]
openedx/eslint-config,False,openedx,fed-bom,[]
openedx/edx-val,True,content,phoenix,[]
openedx/django-config-models,True,openedx,arch-bom,[]
openedx/openedx-chem,False,content,tnl,[]
openedx/xblock-free-text-response,False,openedx,arbi-bom,[]
openedx/staff_graded-xblock,True,openedx,arbi-bom,[]
openedx/xblock-sql-grader,False,openedx,arbi-bom,[]
openedx/enmerkar-underscore,False,openedx,arch-bom,[]
openedx/course-discovery,True,content,phoenix,[]
openedx/edx-user-state-client,False,content,Aurora,[]
openedx/openedxstats,True,openedx,tcril,[]
openedx/xblock-adventure,False,enterprise,yonkers,[]
openedx/edx-bulk-grades,True,content,Aurora,[]
openedx/frontend-lib-special-exams,False,,,[]
openedx/openedx-census,False,openedx,tcril,[]
openedx/edx-notes-api,True,content,aurora,[]
openedx/edx-app-test,False,engagement,mobile,[]
openedx/edx-rest-api-client,False,openedx,arch-bom,[]
openedx/crowdsourcehinter,False,openedx,arbi-bom,[]
openedx/edx-enterprise-data,False,enterprise,markhors,[]
openedx/edx-drf-extensions,True,openedx,arch-bom,[]
openedx/license-manager,True,enterprise,titans,[]
openedx/xblock-google-drive,True,enterprise,yonkers,[]
openedx/api-doc-tools,True,openedx,arbi-bom,[]
openedx/frontend-app-support-tools,True,content,phoenix,[]
openedx/edx-when,True,content,cosmonauts,[]
openedx/public-engineering,False,openedx,tcril,[]
openedx/frontend-app-programs-dashboard,False,content,aperture,[]
openedx/frontend-app-learner-record,False,content,aperture,[]
openedx/frontend-app-program-console,False,content,cosmonauts,[]
openedx/frontend-app-admin-portal,False,enterprise,titans,[]
openedx/openedx-events,True,openedx,eduNEXT,[]
openedx/olxcleaner,False,content,inf,[]
openedx/mockprock,False,content,cosmonauts,[]
openedx/code-annotations,True,platform,data-de,[]
openedx/event-routing-backends,True,openedx,arch-bom,[]
openedx/user-util,False,platform,data-de,[]
openedx/frontend-component-header,False,openedx,fed-bom,[]
openedx/edx-milestones,True,content,aperture,[]
openedx/pytest-warnings-report,True,openedx,arch-bom,[]
openedx/frontend-enterprise,False,enterprise,titans,[]
openedx/credentials-themes,False,content,aperture,[]
openedx/architecture-coordination-wg,False,openedx,tcril,[]
openedx/cs_comments_service,False,content,inf,[]
openedx/data-wg,False,openedx,tcril,[]
openedx/stylelint-config-edx,False,openedx,fed-bom,[]
openedx/django-splash,True,openedx,arch-bom,[]
openedx/edx-analytics-dashboard,False,content,cosmonauts,[]
openedx/openedx-translations,False,openedx,tcril,[]
openedx/frontend-app-publisher,True,content,phoenix,[]
openedx/edx-sphinx-theme,True,openedx,tcril,[]
openedx/ecommerce-worker,True,engagement,revenue,[]
openedx/super-csv,True,content,Aurora,[]
openedx/frontend-app-learner-portal-enterprise,False,enterprise,titans,[]
openedx/web-fragments,True,openedx,arch-bom,[]
openedx/edx-platform,True,openedx,arch-bom,[]
openedx/tubular,False,platform,sre,[]
openedx/RecommenderXBlock,False,,,[]
openedx/frontend-build,False,openedx,fed-bom,[]
openedx/openedx-atlas,False,openedx,tcril,[]
openedx/edx-django-utils,True,openedx,arch-bom,[]
openedx/openedx-i18n,False,openedx,tcril,[]
openedx/frontend-app-ecommerce,False,engagement,revenue,[]
openedx/openedx-demo-course,False,content,tnl,[]
openedx/openedx-tech-radar,False,openedx,tcril,[]
openedx/openedx-slack-invite,False,openedx,tcril,[]
openedx/ecommerce-scripts,True,engagement,revenue,[]
openedx/event-tracking,False,platform,data-de,[]
